@relation 'readsb-hist_filtered_by_Taiwan_manual_edges-weka.filters.unsupervised.attribute.Remove-R1-11,14,16-18,20-29_clustered'

@attribute Instance_number numeric
@attribute gs numeric
@attribute track numeric
@attribute squawk numeric
@attribute nav_heading numeric
@attribute ecef_x numeric
@attribute ecef_y numeric
@attribute ecef_z numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19}

@data
140,451.6,198.6,2604,210.23,-2952267.521299,5064861.133379,2515398.48843,cluster3
141,451.6,198.6,2604,210.23,-2952185.99549,5065329.429868,2514551.051036,cluster3
142,451.3,198.48,2604,210.23,-2952117.256281,5065748.81202,2513806.13277,cluster3
143,452.6,197.35,2604,196.17,-2951982.376015,5066530.618004,2512369.185023,cluster3
144,455.4,195.41,2604,196.17,-2951930.871351,5067021.233191,2511440.090163,cluster3
145,458.7,193.49,2604,196.17,-2951900.002687,5067568.095244,2510372.750714,cluster3
146,461.3,192.14,2604,196.17,-2951911.504553,5068046.84895,2509431.294508,cluster3
147,463.9,189.93,2604,196.17,-2951970.426231,5068645.738645,2508229.590906,cluster3
148,466.3,188.63,2604,196.17,-2952064.349279,5069203.099861,2507108.702226,cluster3
149,467.5,187.99,2604,196.17,-2952174.301716,5069735.969366,2505979.053933,cluster3
150,468.8,188.22,2604,196.17,-2952271.994538,5070245.199094,2504891.671557,cluster3
151,469.9,188.32,2604,199.69,-2952367.941537,5070750.876693,2503832.377236,cluster3
152,470.9,188.3,2604,199.69,-2952465.719359,5071264.437218,2502734.972905,cluster3
153,471.9,188.28,2604,199.69,-2952568.816022,5071790.246088,2501625.300574,cluster3
154,472.9,188.27,2604,201.09,-2952680.13721,5072333.705287,2500508.387741,cluster3
155,472.8,188.15,2604,201.09,-2952762.378882,5072760.271488,2499604.097817,cluster3
156,473.8,188.13,2604,201.09,-2952888.347003,5073373.204992,2498327.675212,cluster3
157,473.9,188.25,2604,201.09,-2952992.520331,5073898.04859,2497235.739795,cluster3
158,474.9,188.23,2604,201.09,-2953100.069808,5074428.753186,2496107.827752,cluster3
159,474.9,188.23,2604,201.09,-2953187.445533,5074863.724937,2495217.366146,cluster3
160,475.9,188.22,2604,201.09,-2953308.949384,5075486.176274,2493904.586091,cluster3
161,475.9,188.22,2604,201.09,-2953412.625512,5075996.138512,2492841.144137,cluster3
162,475.9,188.22,2604,201.09,-2953520.009722,5076543.513362,2491696.522589,cluster3
163,476,188.33,2604,201.09,-2953626.160711,5077078.436241,2490597.616385,cluster3
164,477,188.32,2604,201.09,-2953723.592872,5077576.820036,2489543.919618,cluster3
165,477,188.32,2604,201.09,-2953831.471605,5078128.699745,2488407.178794,cluster3
