year,month,date,hour,minute,second,hex,flight,t,alt_baro,alt_geom,gs,track,geom_rate,squawk,nav_qnh,nav_altitude_mcp,nav_altitude_fms,nav_heading,lat,lon,nic,rc,track,nic_baro,nac_p,nac_v,sil,sil_type
2025,04,01,00,19,25,8990a1,MDA1857 ,B738,18550,19375,352.6,198.69,1824,2604,1013.6,24000,24000,210.23,23.82227,120.455915,8,186,198.69,1,10,2,3,perhour
2025,04,01,00,19,25,89904b,CAL154  ,B738,3350,3600,227.7,44.64,1984,2655,1019.2,8992,9008,49.22,25.1336,121.315855,8,186,44.64,1,10,2,3,perhour
2025,04,01,00,19,30,8990a1,MDA1857 ,B738,18700,19550,356.7,198.64,1472,2604,1013.6,24000,24000,210.23,23.814423,120.452983,8,186,198.64,1,10,2,3,perhour
2025,04,01,00,19,30,89904b,CAL154  ,B738,3425,3675,234.8,44.65,1120,2655,1019.2,8992,9008,49.22,25.136952,121.319482,8,186,44.65,1,10,2,3,perhour
2025,04,01,00,19,35,8990a1,MDA1857 ,B738,18825,19700,359.9,198.64,1600,2604,1013.6,24000,24000,210.23,23.806675,120.450163,8,186,198.64,1,10,2,3,perhour
2025,04,01,00,19,35,89904b,CAL154  ,B738,3525,3775,241.1,45.17,1120,2655,1019.2,8992,9008,49.22,25.14093,121.323853,8,186,45.17,1,10,2,3,perhour
2025,04,01,00,19,40,8990a1,MDA1857 ,B738,19000,19875,363.0,198.63,1792,2604,1013.6,24000,24000,210.23,23.798172,120.447032,8,186,198.63,1,10,2,3,perhour
2025,04,01,00,19,40,89904b,CAL154  ,B738,3725,3950,243.3,45.67,2528,2655,1019.2,8992,9008,49.92,25.145331,121.32881,8,186,45.67,1,10,2,3,perhour
2025,04,01,00,19,45,8990a1,MDA1857 ,B738,19100,19975,365.2,198.68,1760,2604,1013.6,24000,24000,210.23,23.791871,120.444774,8,186,198.68,1,10,2,3,perhour
2025,04,01,00,19,45,89904b,CAL154  ,B738,3925,4175,245.4,45.83,2624,2655,1019.2,8992,9008,49.92,25.149148,121.333163,8,186,45.83,1,10,2,3,perhour
2025,04,01,00,19,50,8990a1,MDA1857 ,B738,19275,20175,369.4,198.63,1760,2604,1013.6,24000,24000,210.23,23.783166,120.441561,8,186,198.63,1,10,2,3,perhour
2025,04,01,00,19,55,8990a1,MDA1857 ,B738,19450,20325,370.3,198.58,1760,2604,1013.6,24000,24000,210.23,23.774786,120.438503,8,186,198.58,1,10,2,3,perhour
2025,04,01,00,20,00,8990a1,MDA1857 ,B738,19650,20575,372.2,198.48,2240,2604,1013.6,24000,24000,210.23,23.7659,120.435282,8,186,198.48,1,10,2,3,perhour
2025,04,01,00,20,05,8990a1,MDA1857 ,B738,19800,20700,373.1,198.43,2144,2604,1013.6,24000,24000,210.23,23.758633,120.432647,8,186,198.43,1,10,2,3,perhour
2025,04,01,00,20,10,8990a1,MDA1857 ,B738,20000,20925,375.4,198.48,2144,2604,1013.6,24000,24000,210.23,23.749602,120.429382,8,186,198.48,1,10,2,3,perhour
2025,04,01,00,20,15,8990a1,MDA1857 ,B738,20200,21150,375.4,198.48,2144,2604,1013.6,24000,24000,210.23,23.741269,120.426325,8,186,198.48,1,10,2,3,perhour
2025,04,01,00,20,20,8990a1,MDA1857 ,B738,20450,21400,375.0,198.34,2880,2604,1013.6,24000,24000,210.94,23.732517,120.423215,8,186,198.34,1,10,2,3,perhour
2025,04,01,00,20,25,8990a1,MDA1857 ,B738,20675,21650,374.1,198.39,2976,2604,1013.6,24000,24000,210.94,23.724426,120.420278,8,186,198.39,1,10,2,3,perhour
2025,04,01,00,20,30,8990a1,MDA1857 ,B738,20925,21900,374.1,198.39,2976,2604,1013.6,24000,24000,210.94,23.716177,120.417308,8,186,198.39,1,10,2,3,perhour
2025,04,01,00,20,35,8990a1,MDA1857 ,B738,21175,22175,372.2,198.48,3072,2604,1013.6,24000,24000,210.94,23.708267,120.414429,8,186,198.48,1,10,2,3,perhour
2025,04,01,00,20,40,8990a1,MDA1857 ,B738,21425,22400,371.9,198.34,3072,2604,1013.6,24000,24000,212.34,23.699799,120.411377,8,186,198.34,1,10,2,3,perhour
2025,04,01,00,20,45,8990a1,MDA1857 ,B738,21625,22675,370.9,198.39,2656,2604,1013.6,24000,24000,212.34,23.692761,120.408861,8,186,198.39,1,10,2,3,perhour
2025,04,01,00,20,50,8990a1,MDA1857 ,B738,21850,22900,371.3,198.53,2592,2604,1013.6,24000,24000,212.34,23.684382,120.405803,8,186,198.53,1,10,2,3,perhour
2025,04,01,00,20,55,8990a1,MDA1857 ,B738,22050,23075,371.3,198.53,2528,2604,1013.6,24000,24000,212.34,23.676654,120.403005,8,186,198.53,1,10,2,3,perhour
2025,04,01,00,21,00,8990a1,MDA1857 ,B738,22300,23350,372.2,198.48,2464,2604,1013.6,24000,24000,212.34,23.66684,120.399424,8,186,198.48,1,10,2,3,perhour
2025,04,01,00,21,05,8990a1,MDA1857 ,B738,22475,23525,372.2,198.48,2144,2604,1013.6,24000,24000,212.34,23.659383,120.396734,8,186,198.48,1,10,2,3,perhour
2025,04,01,00,21,10,8990a1,MDA1857 ,B738,22650,23725,373.5,198.58,2048,2604,1013.6,24000,24000,212.34,23.65119,120.393729,8,186,198.58,1,10,2,3,perhour
2025,04,01,00,21,15,8990a1,MDA1857 ,B738,22800,23875,374.7,198.68,2048,2604,1013.6,24000,24000,212.34,23.643695,120.390982,8,186,198.68,1,10,2,3,perhour
2025,04,01,00,21,20,8990a1,MDA1857 ,B738,22975,24075,376.0,198.77,2080,2604,1013.6,26016,26000,212.34,23.635941,120.388133,8,186,198.77,1,10,2,3,perhour
2025,04,01,00,21,25,8990a1,MDA1857 ,B738,23150,24275,376.9,198.72,2112,2604,1013.6,26016,26000,212.34,23.627563,120.385081,8,186,198.72,1,10,2,3,perhour
2025,04,01,00,21,30,8990a1,MDA1857 ,B738,23350,24500,377.9,198.67,2016,2604,1013.6,26016,26000,212.34,23.617538,120.381419,8,186,198.67,1,10,2,3,perhour
2025,04,01,00,21,35,8990a1,MDA1857 ,B738,23500,24650,378.8,198.63,2016,2604,1013.6,26016,26000,212.34,23.609712,120.378545,8,186,198.63,1,10,2,3,perhour
2025,04,01,00,21,40,8990a1,MDA1857 ,B738,23675,24825,380.7,198.53,1792,2604,1013.6,26016,26000,212.34,23.601752,120.375643,8,186,198.53,1,10,2,3,perhour
2025,04,01,00,21,45,8990a1,MDA1857 ,B738,23800,24950,383.0,198.58,1792,2604,1013.6,26016,26000,212.34,23.593872,120.372772,8,186,198.58,1,10,2,3,perhour
2025,04,01,00,21,50,8990a1,MDA1857 ,B738,23925,25075,383.9,198.53,1536,2604,1013.6,26016,26000,212.34,23.585552,120.369735,8,186,198.53,1,10,2,3,perhour
2025,04,01,00,21,55,8990a1,MDA1857 ,B738,24075,25250,385.2,198.62,1536,2604,1013.6,26016,26000,212.34,23.576381,120.366366,8,186,198.62,1,10,2,3,perhour
2025,04,01,00,22,00,8990a1,MDA1857 ,B738,24225,25400,387.1,198.53,1792,2604,1013.6,26016,26000,212.34,23.567688,120.36321,8,186,198.53,1,10,2,3,perhour
2025,04,01,00,22,05,8990a1,MDA1857 ,B738,24350,25550,389.3,198.57,1088,2604,1013.6,26016,26000,212.34,23.558784,120.35994,8,186,198.57,1,10,2,3,perhour
2025,04,01,00,22,10,8990a1,MDA1857 ,B738,24375,25575,393.7,198.67,224,2604,1013.6,26016,26000,212.34,23.549986,120.356779,8,186,198.67,1,10,2,3,perhour
2025,04,01,00,22,15,8990a1,MDA1857 ,B738,24400,25600,399.1,198.71,384,2604,1013.6,26016,26000,212.34,23.541886,120.3538,8,186,198.71,1,10,2,3,perhour
2025,04,01,00,22,20,8990a1,MDA1857 ,B738,24475,25675,401.3,198.75,672,2604,1013.6,26016,26000,212.34,23.532482,120.350342,8,186,198.75,1,10,2,3,perhour
2025,04,01,00,22,25,8990a1,MDA1857 ,B738,24500,25725,405.4,198.7,320,2604,1013.6,26016,26000,212.34,23.523963,120.347188,8,186,198.7,1,10,2,3,perhour
2025,04,01,00,22,30,8990a1,MDA1857 ,B738,24525,25750,409.8,198.79,320,2604,1013.6,26016,26000,212.34,23.516142,120.344289,8,186,198.79,1,10,2,3,perhour
2025,04,01,00,22,35,8990a1,MDA1857 ,B738,24575,25800,413.9,198.74,608,2604,1013.6,26016,26000,212.34,23.50604,120.340576,8,186,198.74,1,10,2,3,perhour
2025,04,01,00,22,40,8990a1,MDA1857 ,B738,24625,25875,418.1,198.69,448,2604,1013.6,26016,26000,212.34,23.497614,120.337474,8,186,198.69,1,10,2,3,perhour
2025,04,01,00,22,45,8990a1,MDA1857 ,B738,24650,25900,422.2,198.65,384,2604,1013.6,26016,26000,212.34,23.486984,120.333602,8,186,198.65,1,10,2,3,perhour
2025,04,01,00,22,50,8990a1,MDA1857 ,B738,24675,25925,426.0,198.48,416,2604,1013.6,26016,26000,212.34,23.478016,120.330302,8,186,198.48,1,10,2,3,perhour
2025,04,01,00,22,55,8990a1,MDA1857 ,B738,24725,25975,429.1,198.48,576,2604,1013.6,26016,26000,212.34,23.469916,120.327403,8,186,198.48,1,10,2,3,perhour
