year,month,day,hour,minute,second,hex,flight,t,alt_baro,alt_geom,gs,track,geom_rate,squawk,nav_qnh,nav_altitude_mcp,nav_altitude_fms,nav_heading,lat,lon,nic,rc,nic_baro,nac_p,nac_v,sil,sil_type,geohash,ecef_x,ecef_y,ecef_z,cluster
2025,4,1,0,17,45,8990a1,MDA1857,B738,14325,14950,328.6,189.63,2464,2604,1013.6,16000,16000,199.69,23.975235,120.499471,8,186,1,10,2,3,perhour,wsm8qh91c5tz,-2956608.860118003,5019431.79327634,2590654.844030769,29
2025,4,1,0,17,50,8990a1,MDA1857,B738,14525,15175,330.8,189.75,2464,2604,1013.6,16000,16000,199.69,23.968323,120.498199,8,186,1,10,2,3,perhour,wsm8q521ee1r,-2956687.819535199,5019820.67942187,2589979.915040049,29
2025,4,1,0,17,55,8990a1,MDA1857,B738,14725,15375,332.7,189.69,2464,2604,1013.6,16000,16000,198.98,23.961461,120.496907,8,186,1,10,2,3,perhour,wsm8mfp1tkn4,-2956760.2905970206,5020202.589419527,2589306.922931654,29
2025,4,1,0,18,0,8990a1,MDA1857,B738,14900,15550,334.7,189.63,2624,2604,1013.6,16000,16000,198.98,23.95491,120.495707,8,186,1,10,2,3,perhour,wsm8mby73qzk,-2956830.1036536074,5020561.582794601,2588662.413016053,29
2025,4,1,0,18,5,8990a1,MDA1857,B738,15150,15825,336.7,189.57,2688,2604,1013.6,16000,16000,198.98,23.946579,120.49413,8,186,1,10,2,3,perhour,wsm8jzm4utz7,-2956921.763760568,5021033.257358076,2587849.204376024,29
2025,4,1,0,18,10,8990a1,MDA1857,B738,15400,16100,338.7,189.52,2720,2604,1013.6,16000,16000,198.98,23.93811,120.492605,8,186,1,10,2,3,perhour,wsm8jvu195nh,-2957021.06180075,5021507.528655439,2587021.882953547,29
2025,4,1,0,18,15,8990a1,MDA1857,B738,15600,16275,339.6,189.49,2432,2604,1013.6,19008,16000,198.98,23.930318,120.491155,8,186,1,10,2,3,perhour,wsm8ju6upqt5,-2957097.2090892047,5021927.4972286895,2586250.9809308937,29
2025,4,1,0,18,20,8990a1,MDA1857,B738,15775,16475,343.1,189.9,2432,2604,1013.6,20000,20000,198.98,23.922264,120.489703,8,186,1,10,2,3,perhour,wsm8jfcvm94r,-2957182.642791374,5022363.678409462,2585456.456332713,29
2025,4,1,0,18,25,8990a1,MDA1857,B738,15900,16600,345.0,191.54,2432,2604,1013.6,20000,20000,206.72,23.915235,120.488201,8,186,1,10,2,3,perhour,wsm8jc8u6dfm,-2957229.555497529,5022744.500427816,2584756.871049133,29
2025,4,1,0,18,30,8990a1,MDA1857,B738,16000,16725,347.1,194.52,2016,2604,1013.6,20000,20000,208.12,23.90881,120.486646,8,186,1,10,2,3,perhour,wsm8j8rwym4y,-2957257.9408363844,5023104.516795796,2584118.68628876,29
2025,4,1,0,18,35,8990a1,MDA1857,B738,16250,16975,346.7,196.76,2016,2604,1013.6,20000,20000,208.12,23.898709,120.483588,8,186,1,10,2,3,perhour,wsjxvwtkp468,-2957256.244405809,5023714.901737368,2583121.893022822,29
2025,4,1,0,18,40,8990a1,MDA1857,B738,16450,17150,345.3,198.75,2016,2604,1013.6,20000,20000,208.12,23.89275,120.481516,8,186,1,10,2,3,perhour,wsjxvtecqg3t,-2957235.569624417,5024095.36935055,2582537.1907743933,29
2025,4,1,0,18,45,8990a1,MDA1857,B738,16800,17550,343.1,198.7,3680,2604,1013.6,20000,20000,210.23,23.883626,120.478147,8,186,1,10,2,3,perhour,wsjxvecs0q9d,-2957205.244789666,5024719.686067632,2581658.1584480666,29
2025,4,1,0,18,50,8990a1,MDA1857,B738,17025,17750,342.8,198.54,3680,2604,1013.6,20000,20000,210.23,23.877341,120.475867,8,186,1,10,2,3,perhour,wsjxv6xze4vr,-2957177.1729075266,5025129.438089628,2581043.265259944,29
2025,4,1,0,18,50,89904b,CAL154,B738,2325,2575,192.7,51.11,832,2655,1019.2,8992,9008,54.14,25.110672,121.287893,8,186,1,10,2,3,perhour,wsqnzgr0k8xc,-2996368.4188553942,4930506.980831893,2703982.158332265,39
2025,4,1,0,18,55,8990a1,MDA1857,B738,17325,18075,344.7,198.43,3680,2604,1013.6,20000,20000,208.83,23.868217,120.47255,8,186,1,10,2,3,perhour,wsjxv3j6myhh,-2957140.588717984,5025732.882652258,2580154.815829903,29
